packet size: 512bytes
number of packets: 16.0
signal frequency: 40
sample frequency: 80.0
force units: N, moment units: Nm
Counter: 208.0     , Fx: 0.08      ,Fy: -0.13     , Fz: 0.0       , Mx: -0.0016   ,My: 0.0016    ,Mz: -0.001    ,
Counter: 209.0     , Fx: 0.07      ,Fy: -0.11     , Fz: 0.29      , Mx: 0.0024    ,My: 0.0       ,Mz: 0.001     ,
Counter: 210.0     , Fx: 0.02      ,Fy: 0.12      , Fz: -0.34     , Mx: -0.0008   ,My: -0.0016   ,Mz: -0.0031   ,
Counter: 211.0     , Fx: -0.06     ,Fy: -0.03     , Fz: -0.44     , Mx: -0.0008   ,My: -0.0032   ,Mz: -0.001    ,
Counter: 212.0     , Fx: -0.01     ,Fy: 0.0       , Fz: 0.0       , Mx: 0.0       ,My: -0.0016   ,Mz: 0.001     ,
Counter: 213.0     , Fx: -0.11     ,Fy: -0.15     , Fz: 0.44      , Mx: 0.0       ,My: 0.0       ,Mz: 0.0021    ,
Counter: 214.0     , Fx: 0.16      ,Fy: 0.13      , Fz: -0.19     , Mx: 0.0008    ,My: 0.0016    ,Mz: 0.001     ,
Counter: 215.0     , Fx: 0.0       ,Fy: -0.03     , Fz: 0.34      , Mx: 0.0024    ,My: -0.0016   ,Mz: -0.0021   ,
Counter: 216.0     , Fx: -0.24     ,Fy: -0.05     , Fz: -0.19     , Mx: -0.004    ,My: -0.0032   ,Mz: 0.0021    ,
Counter: 217.0     , Fx: 0.19      ,Fy: 0.1       , Fz: -0.44     , Mx: -0.0016   ,My: 0.0016    ,Mz: 0.001     ,
Counter: 218.0     , Fx: 0.07      ,Fy: -0.11     , Fz: 0.97      , Mx: 0.0024    ,My: -0.0016   ,Mz: 0.0031    ,
Counter: 219.0     , Fx: 0.0       ,Fy: 0.44      , Fz: 0.73      , Mx: 0.0       ,My: 0.0016    ,Mz: 0.0031    ,
Counter: 220.0     , Fx: 0.06      ,Fy: -0.11     , Fz: 0.39      , Mx: 0.0024    ,My: -0.0016   ,Mz: -0.0031   ,
Counter: 221.0     , Fx: -0.16     ,Fy: -0.11     , Fz: 0.73      , Mx: 0.0008    ,My: 0.0       ,Mz: -0.001    ,
Counter: 222.0     , Fx: 0.12      ,Fy: -0.08     , Fz: 0.63      , Mx: 0.0032    ,My: 0.0008    ,Mz: 0.0       ,
Counter: 223.0     , Fx: -0.04     ,Fy: -0.09     , Fz: 0.68      , Mx: -0.0016   ,My: -0.0008   ,Mz: -0.0031   ,
Counter: 224.0     , Fx: -0.24     ,Fy: -0.25     , Fz: -0.24     , Mx: 0.0024    ,My: 0.0008    ,Mz: -0.0021   ,
Counter: 225.0     , Fx: -0.01     ,Fy: -0.3      , Fz: 0.39      , Mx: 0.0024    ,My: 0.0008    ,Mz: -0.0021   ,
Counter: 226.0     , Fx: 0.33      ,Fy: 0.02      , Fz: 0.82      , Mx: 0.0       ,My: 0.0       ,Mz: 0.0021    ,
Counter: 227.0     , Fx: -0.06     ,Fy: -0.31     , Fz: -0.29     , Mx: -0.0016   ,My: -0.0008   ,Mz: -0.001    ,
Counter: 228.0     , Fx: 0.11      ,Fy: 0.27      , Fz: 1.02      , Mx: -0.0008   ,My: -0.0048   ,Mz: -0.001    ,
Counter: 229.0     , Fx: 0.0       ,Fy: 0.11      , Fz: -0.19     , Mx: 0.0       ,My: -0.0024   ,Mz: -0.001    ,
Counter: 230.0     , Fx: -0.13     ,Fy: -0.2      , Fz: -0.53     , Mx: 0.004     ,My: 0.0       ,Mz: 0.0042    ,
Counter: 231.0     , Fx: 0.26      ,Fy: 0.01      , Fz: 0.53      , Mx: 0.0       ,My: -0.0048   ,Mz: 0.0031    ,
Counter: 232.0     , Fx: 0.34      ,Fy: 0.08      , Fz: 0.73      , Mx: 0.0       ,My: -0.0016   ,Mz: 0.001     ,
Counter: 233.0     , Fx: 0.21      ,Fy: 0.0       , Fz: -0.39     , Mx: -0.0016   ,My: 0.0       ,Mz: 0.0       ,
Counter: 234.0     , Fx: -0.29     ,Fy: -0.08     , Fz: -0.34     , Mx: -0.0024   ,My: 0.0024    ,Mz: -0.0063   ,
Counter: 235.0     , Fx: 0.1       ,Fy: -0.07     , Fz: 0.24      , Mx: 0.0024    ,My: 0.0032    ,Mz: 0.001     ,
Counter: 236.0     , Fx: 0.31      ,Fy: 0.14      , Fz: 0.73      , Mx: 0.0016    ,My: 0.0       ,Mz: 0.0       ,
Counter: 237.0     , Fx: 0.01      ,Fy: 0.07      , Fz: 0.24      , Mx: 0.0032    ,My: 0.0008    ,Mz: 0.0       ,
Counter: 238.0     , Fx: -0.16     ,Fy: -0.2      , Fz: 0.63      , Mx: 0.0       ,My: 0.0008    ,Mz: -0.0031   ,
Counter: 239.0     , Fx: 0.02      ,Fy: -0.3      , Fz: 0.78      , Mx: 0.0       ,My: -0.0016   ,Mz: -0.0063   ,
Counter: 240.0     , Fx: 0.04      ,Fy: -0.17     , Fz: -0.49     , Mx: -0.0016   ,My: -0.004    ,Mz: 0.0042    ,
Counter: 241.0     , Fx: 0.02      ,Fy: 0.01      , Fz: -0.53     , Mx: -0.0016   ,My: -0.0016   ,Mz: -0.0031   ,
Counter: 242.0     , Fx: 0.14      ,Fy: 0.12      , Fz: -0.24     , Mx: 0.0016    ,My: -0.0008   ,Mz: -0.001    ,
Counter: 243.0     , Fx: -0.1      ,Fy: 0.0       , Fz: -1.21     , Mx: -0.0016   ,My: 0.0032    ,Mz: 0.0031    ,
Counter: 244.0     , Fx: 0.12      ,Fy: -0.11     , Fz: -0.15     , Mx: -0.0008   ,My: -0.0016   ,Mz: -0.0031   ,
Counter: 245.0     , Fx: -0.19     ,Fy: 0.24      , Fz: -1.12     , Mx: -0.0016   ,My: 0.0024    ,Mz: -0.0042   ,
Counter: 246.0     , Fx: 0.27      ,Fy: 0.05      , Fz: 1.02      , Mx: 0.0024    ,My: 0.0008    ,Mz: 0.0031    ,
